,嘲戈禦芥禬计(ぃ戈犁坝),犁坝禦芥禬计,瞓,羘秖:00896,Θユ计,Θユ掸计,计/掸计,TW_舦计_Μ絃基,TW_舦计_Θユ计,NASDAQ_Μ絃基,NASDAQ_Θユ计,S&P500_Μ絃基,S&P500_Θユ计,DJI_Μ絃基,DJI_Θユ计
Μ絃基,-0.55704873,-0.923306629,-0.168009977,0,-0.006861973,0.440523611,-0.195177824,-0.202490393,0.243867439,-0.312526896,0.678048677,-0.264373266,0.756502407,-0.247436071,0.418025793
Μ絃基,0.55638199,0.436268087,0.631350523,0.616313712,-0.599338352,-0.792340255,-0.377077841,0.689460751,-0.172976332,-0.611933588,-0.078135164,-0.863012361,-0.453315645,-0.716333283,0.631787439
Μ絃基,-0.751485501,-0.802502759,0.875714847,0,-0.602379317,0.829254238,-0.810937077,0.670312602,0.825465142,0.620653857,0.0772062,0.749867193,-0.306881165,0.821133673,-0.958725811
Μ絃基,0.765969096,0.272242406,0.491201762,0,0.95984965,-0.02825823,0.689009899,0.35368719,0.548636997,-0.266667279,0.944967453,0.068677318,0.135768088,0.311184475,0.444349403
Μ絃基,0.837795025,-0.030014826,0.894559639,0.830415273,0.275469439,0.547280691,-0.244651188,0.893391251,0.134305208,0.952321215,-0.543306401,0.879790527,-0.657609774,0.842216395,-0.667195398
Μ絃基,-0.116134192,0.305192979,-0.020199377,-0.098435832,-0.866005455,0.175814771,-0.750303277,-0.009221835,-0.5129371,0.38470331,0.71222327,0.360500356,0.630474708,0.307134986,0.852044685
Μ絃基,-0.96710457,-0.067041313,0.499433028,-0.564966952,0.853639978,-0.228406571,0.591976179,0.569622045,-0.721990372,0.600282801,-0.869716783,0.696029295,-0.924800455,0.379115742,-0.170087135
Μ絃基,0.286116499,-0.882615346,-0.723700623,-0.227427232,-0.449423767,-0.16071504,-0.240415889,-0.362489992,-0.35653074,0.138480203,0.185754513,0.138875617,0.217198365,0.13582059,0.288514906
Μ絃基,-0.495581052,-0.641045167,-0.272163825,0.759259477,-0.18926436,0.804589185,-0.550380501,-0.563737728,-0.314031864,-0.10442785,0.697794746,0.28384641,-0.764318017,0.599561318,-0.452793132
Μ絃基,-0.816911711,-0.270121349,0.566946903,-0.853911691,0.923161715,0.519444452,0.154767584,0.538342287,-0.568412102,0.814940392,0.211407048,0.857842555,-0.644387098,0.794994424,0.829835849
Μ絃基,-0.398419654,-0.149328655,0.196338018,-0.041248764,-0.431131943,0.967696659,-0.648825188,0.454585265,0.362708951,-0.152970046,0.102260289,-0.305490464,0.196941097,-0.339721266,0.296343751
Μ絃基,-0.356970784,-0.429252407,0.098274453,0.186816587,-0.543110512,0.76970549,-0.599993058,0.14295592,-0.170565043,0.303029993,0.322451764,0.301335058,0.098826636,0.300697252,0.11380162
